Year,HomeTeam,AwayTeam,Diff
06,15,7,4
06,19,5,3
06,13,14,-2
06,2,8,1
06,4,20,2
06,18,0,3
06,6,22,-1
06,3,17,-1
06,21,12,-2
06,7,16,1
06,9,15,-2
06,0,7,0
06,16,6,2
06,15,18,2
06,20,2,-1
06,22,21,-1
06,5,9,2
06,17,13,3
06,8,4,1
06,14,3,1
06,17,21,1
06,19,0,5
06,13,16,0
06,4,17,-1
06,18,20,0
06,7,12,-2
06,9,14,2
06,3,15,-2
06,6,8,-1
06,21,5,0
06,2,22,0
06,13,4,1
06,5,18,0
06,12,2,0
06,14,6,1
06,22,13,0
06,0,3,0
06,16,21,3
06,15,4,1
06,17,19,2
06,8,9,-1
06,12,19,0
06,17,20,0
06,19,3,2
06,4,16,-2
06,18,14,-1
06,7,5,1
06,9,22,2
06,12,8,1
06,21,6,1
06,0,13,2
06,2,15,-1
06,5,12,1
06,16,18,3
06,8,21,2
06,20,9,-3
06,14,17,-1
06,3,4,0
06,22,0,1
06,13,2,1
06,19,14,0
06,4,5,3
06,18,13,0
06,9,3,3
06,12,20,1
06,7,22,1
06,0,6,-1
06,21,15,-1
06,13,9,0
06,5,2,-2
06,16,17,3
06,15,0,2
06,6,7,-1
06,8,18,-1
06,22,12,-1
06,14,4,1
06,17,8,0
06,20,19,-3
06,3,21,-1
06,2,16,1
06,4,8,0
06,6,19,-2
06,20,7,1
06,19,22,2
06,0,20,1
06,2,6,2
06,4,13,1
06,18,3,0
06,7,8,1
06,17,5,4
06,9,16,1
06,12,15,-2
06,21,14,1
07,19,0,0
07,4,14,2
07,18,23,1
07,9,22,1
07,12,2,3
07,24,8,1
07,25,15,0
07,21,5,2
07,16,6,3
07,17,7,4
07,14,25,2
07,23,21,0
07,0,24,1
07,2,18,0
07,5,17,-3
07,7,4,0
07,6,12,0
07,8,16,1
07,5,4,2
07,7,25,1
07,15,21,1
07,6,19,1
07,14,18,-2
07,23,17,-1
07,22,24,1
07,0,9,2
07,2,16,-2
07,8,12,-4
07,19,8,0
07,4,23,1
07,16,5,1
07,18,15,3
07,17,14,1
07,9,7,-1
07,12,22,1
07,25,2,0
07,21,0,0
07,24,6,1
07,4,8,0
07,5,12,-1
07,18,22,0
07,25,24,-1
07,23,0,0
07,2,6,2
07,16,15,1
07,17,19,-1
07,14,7,0
07,21,9,-2
07,15,9,2
07,19,25,3
07,0,5,2
07,7,16,-2
07,15,14,3
07,6,21,2
07,8,2,-1
07,24,17,0
07,22,23,0
07,9,18,0
07,12,4,-1
07,4,15,2
07,5,19,-1
07,16,0,0
07,18,6,0
07,25,8,1
07,2,22,1
07,17,9,2
07,14,12,1
07,21,24,-1
07,23,7,0
07,19,23,3
07,0,14,0
07,15,2,0
07,6,25,0
07,8,18,1
07,12,21,2
07,24,16,-1
07,22,17,-2
07,9,4,-1
07,7,5,1
07,0,7,0
07,5,23,0
07,16,12,1
07,18,25,2
07,22,6,4
07,2,4,-1
07,17,15,2
07,8,9,1
07,24,19,-4
07,14,21,1
07,19,18,0
07,4,17,-4
07,7,22,-1
07,15,0,2
07,9,5,0
07,12,24,2
07,25,16,-2
07,23,14,0
07,21,2,1
07,6,8,1
07,4,22,-1
07,5,6,1
07,7,18,1
07,15,24,2
07,17,12,3
07,9,25,-1
07,23,8,2
07,0,2,2
07,14,16,1
07,21,19,1
07,2,17,-1
07,16,23,4
07,18,0,-1
07,6,9,0
07,8,21,1
07,12,7,0
07,25,4,0
07,22,5,1
07,19,15,3
07,24,14,2
07,19,9,0
07,16,21,1
07,18,4,1
07,6,7,2
07,8,15,0
07,12,23,1
07,24,5,2
07,25,17,-1
07,2,14,0
07,22,0,0
07,0,8,0
07,4,19,2
07,5,18,0
07,7,24,-1
07,15,6,1
07,21,25,1
07,17,16,0
07,9,12,1
07,14,22,2
07,23,25,-1
07,0,6,-2
07,4,16,-1
07,7,19,1
07,15,12,0
07,17,18,3
07,19,14,3
07,2,7,2
07,8,17,-1
07,12,0,0
07,24,4,1
07,25,5,1
07,22,15,-4
07,18,21,2
07,6,23,0
07,5,2,1
07,14,8,1
07,9,24,1
07,21,22,-2
07,2,9,-2
07,4,21,4
07,15,7,4
07,17,6,2
07,8,22,0
07,12,18,2
07,14,5,4
07,23,24,0
07,16,19,0
07,25,0,0
07,16,9,1
07,22,19,-1
07,19,12,0
07,0,4,-1
07,5,15,-3
07,9,23,1
07,24,2,-1
07,22,25,-1
07,18,16,-1
07,6,14,-1
07,21,17,1
07,7,8,1
07,19,2,4
07,0,17,-3
07,7,21,0
07,15,23,2
07,6,4,-2
07,8,5,2
07,9,14,2
07,12,25,2
07,24,18,-2
07,22,16,-1
07,2,15,1
07,4,9,1
07,16,24,0
07,18,8,0
07,17,22,2
07,25,6,-1
07,14,0,1
07,23,19,-1
07,21,12,-1
07,5,7,0
07,2,8,1
07,4,12,1
07,5,0,1
07,16,7,0
07,18,9,3
07,17,24,1
07,25,19,1
07,14,15,-1
07,21,6,-1
07,7,23,0
07,15,4,3
07,6,18,1
07,8,25,2
07,9,17,0
07,12,14,0
07,24,21,6
07,22,2,-3
07,19,5,4
07,0,16,0
07,2,19,-2
07,4,6,0
07,5,8,-2
07,16,22,4
07,17,0,2
07,25,12,0
07,23,15,-3
07,21,7,0
07,18,24,0
07,14,9,-1
07,0,23,2
07,7,14,0
07,15,16,2
07,6,2,-3
07,8,4,4
07,9,21,0
07,12,5,-1
07,24,25,2
07,19,17,1
07,22,18,-2
07,23,2,1
07,12,8,0
07,24,22,1
07,25,7,2
07,21,15,-1
07,4,5,0
07,16,2,3
07,17,23,4
07,9,0,2
07,0,21,1
07,2,25,1
07,5,16,-1
07,7,9,1
07,15,18,0
07,6,24,-2
07,8,19,0
07,23,4,-1
07,22,12,1
07,14,17,-4
07,16,8,3
07,18,2,1
07,17,5,2
07,9,15,1
07,12,6,1
07,24,0,2
07,25,14,1
07,21,23,-1
07,19,22,1
07,4,7,1
07,18,14,-1
07,23,22,0
07,5,21,4
07,7,17,-1
07,15,25,4
07,8,24,1
